id,titulo,anio,calificacion,duracion,metascore,url,actores
4050,Hacksaw Ridge,2016,8,139.0,71.0,https://www.imdb.com/title/tt2119532/,"Andrew Garfield, Sam Worthington, Luke Bracey"
4051,Barry Lyndon,1975,8,185.0,89.0,https://www.imdb.com/title/tt0072684/,"Patrick Magee, Ryan O&apos;Neal, Marisa Berenson"
4052,Dead Poets Society,1989,8,128.0,79.0,https://www.imdb.com/title/tt0097165/,"Robin Williams, Robert Sean Leonard, Ethan Hawke"
4053,The Grand Budapest Hotel,2014,8,99.0,88.0,https://www.imdb.com/title/tt2278388/,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric"
4054,12 Years a Slave,2013,8,134.0,96.0,https://www.imdb.com/title/tt2024544/,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender"
4055,Before Sunrise,1995,8,101.0,79.0,https://www.imdb.com/title/tt0112471/,"Ethan Hawke, Julie Delpy, Andrea Eckert"
4056,Blade Runner,1982,8,117.0,84.0,https://www.imdb.com/title/tt0083658/,"Harrison Ford, Rutger Hauer, Sean Young"
4057,The Gold Rush,1925,8,95.0,90.0,https://www.imdb.com/title/tt0015864/,"Charles Chaplin, Mack Swain, Tom Murray"
4058,Ratatouille,2007,8,111.0,96.0,https://www.imdb.com/title/tt0382932/,"Brad Garrett, Lou Romano, Patton Oswalt"
4059,Salinui chueok,2003,8,132.0,82.0,https://www.imdb.com/title/tt0353969/,"Song Kang-ho, Kim Sang-kyung, Kim Roe-ha"
4060,Jaws,1975,8,124.0,87.0,https://www.imdb.com/title/tt0073195/,"Robert Shaw, Roy Scheider, Richard Dreyfuss"
4061,"Monsters, Inc.",2001,8,92.0,79.0,https://www.imdb.com/title/tt0198781/,"Billy Crystal, John Goodman, Mary Gibbs"
4062,Relatos salvajes,2014,8,122.0,77.0,https://www.imdb.com/title/tt3011894/,"Darío Grandinetti, María Marull, Mónica Villa"
4063,How to Train Your Dragon,2010,8,98.0,75.0,https://www.imdb.com/title/tt0892769/,"Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse"
4064,Ford v Ferrari,2019,8,152.0,81.0,https://www.imdb.com/title/tt1950186/,"Christian Bale, Matt Damon, Jon Bernthal"
4065,In the Name of the Father,1994,8,133.0,84.0,https://www.imdb.com/title/tt0107207/,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie"
4066,Gone Girl,2014,8,149.0,79.0,https://www.imdb.com/title/tt2267998/,"Ben Affleck, Rosamund Pike, Neil Patrick Harris"
4067,Sherlock Jr.,1924,8,45.0,,https://www.imdb.com/title/tt0015324/,"Buster Keaton, Kathryn McGuire, Joe Keaton"
4068,Mary and Max.,2009,8,92.0,72.0,https://www.imdb.com/title/tt0978762/,"Toni Collette, Philip Seymour Hoffman, Eric Bana"
4069,Le salaire de la peur,1955,8,156.0,85.0,https://www.imdb.com/title/tt0046268/,"Yves Montand, Charles Vanel, Peter van Eyck"
4070,The Deer Hunter,1979,8,183.0,90.0,https://www.imdb.com/title/tt0077416/,"Robert De Niro, Christopher Walken, John Cazale"
4071,The Third Man,1950,8,104.0,97.0,https://www.imdb.com/title/tt0041959/,"Orson Welles, Joseph Cotten, Alida Valli"
4072,The General,1927,8,78.0,,https://www.imdb.com/title/tt0017925/,"Buster Keaton, Marion Mack, Glen Cavender"
4073,Tôkyô monogatari,1972,8,137.0,100.0,https://www.imdb.com/title/tt0046438/,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura"
4074,On the Waterfront,1954,8,108.0,91.0,https://www.imdb.com/title/tt0047296/,"Marlon Brando, Lee J. Cobb, Karl Malden"
4075,Spotlight,2015,8,129.0,93.0,https://www.imdb.com/title/tt1895587/,"Mark Ruffalo, Michael Keaton, Rachel McAdams"
4076,Mr. Smith Goes to Washington,1939,8,129.0,73.0,https://www.imdb.com/title/tt0031679/,"James Stewart, Jean Arthur, Claude Rains"
4077,Logan,2017,8,137.0,77.0,https://www.imdb.com/title/tt3315342/,"Hugh Jackman, Patrick Stewart, Dafne Keen"
4078,Rocky,1976,8,120.0,70.0,https://www.imdb.com/title/tt0075148/,"Sylvester Stallone, Talia Shire, Burt Young"
4079,Smultronstället,1959,8,92.0,88.0,https://www.imdb.com/title/tt0050986/,"Victor Sjöström, Bibi Andersson, Ingrid Thulin"
4080,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,143.0,63.0,https://www.imdb.com/title/tt0325980/,"Orlando Bloom, Johnny Depp, Geoffrey Rush"
4081,Det sjunde inseglet,1958,8,96.0,88.0,https://www.imdb.com/title/tt0050976/,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot"
